Index,System Time,Channel,Direction,Frame ID,Data
25046,22:14:18.273,ch1,R,0x0352,x| 5C 00 00 00
25047,22:14:18.274,ch1,R,0x01bd,x| 0C 7E 0D 8C 00 00 01 6B
25048,22:14:18.275,ch1,R,0x0392,x| 00 46 00 00 00
25049,22:14:18.279,ch1,R,0x0211,x| 4E 12 0A 5B F1 28 00 E4
25050,22:14:18.279,ch1,R,0x0214,x| 04 00
25051,22:14:18.280,ch1,R,0x0186,x| 18 5C 31 A3 1B 00 21
25052,22:14:18.280,ch1,R,0x0189,x| 31 B3 18 3F 30 D6 00 00
25053,22:14:18.280,ch1,R,0x018a,x| 31 B8 00 06 AA 04 4F 00
25054,22:14:18.281,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25055,22:14:18.281,ch1,R,0x0217,x| 0B 05 00 00 00 00 00
25056,22:14:18.281,ch1,R,0x02c6,x| FF FF FF FF FF F0
25057,22:14:18.281,ch1,R,0x0511,x| 00 09 1B B7 10 E8 3A
25058,22:14:18.282,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25059,22:14:18.282,ch1,R,0x017c,x| 18 5C 50 08 4E 06 00 00
25060,22:14:18.282,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25061,22:14:18.282,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25062,22:14:18.282,ch1,R,0x0090,x| 00 00 00 00
25063,22:14:18.283,ch1,R,0x00c6,x| 80 23 80 00 80 08 BC 98
25064,22:14:18.283,ch1,R,0x012e,x| C7 80 02 7F D0 FF FF 00
25065,22:14:18.283,ch1,R,0x029a,x| 00 00 00 00 00 00 0F F0
25066,22:14:18.283,ch1,R,0x02b7,x| 00 E0 FF FE 01
25067,22:14:18.284,ch1,R,0x0596,x| 85 66 85 4B 1A 00 00 00
25068,22:14:18.284,ch1,R,0x05da,x| 85 5F 40 00 D5 38 C0 00
25069,22:14:18.284,ch1,R,0x01a0,x| F0
25070,22:14:18.284,ch1,R,0x0563,x| 12 30
25071,22:14:18.284,ch1,R,0x05de,x| 06 00 00 80 00 00 00 42
25072,22:14:18.284,ch1,R,0x062c,x| 00
25073,22:14:18.285,ch1,R,0x0648,x| FF FF F0 64 C8 64 FA 1E
25074,22:14:18.285,ch1,R,0x0646,x| 35 3E 12 E6 81 2E 10 E4
25075,22:14:18.285,ch1,R,0x065c,x| 96 60 00
25076,22:14:18.285,ch1,R,0x0666,x| 34 00 00 00
25077,22:14:18.286,ch1,R,0x066a,x| 20 FE 00 67 67 C0 1F 02
25078,22:14:18.286,ch1,R,0x0593,x| 0F FF 00 00
25079,22:14:18.291,ch1,R,0x068b,x| 22 0D 81
25080,22:14:18.291,ch1,R,0x0186,x| 18 66 31 A3 1B 00 21
25081,22:14:18.291,ch1,R,0x0189,x| 31 B3 18 3F 30 D6 00 00
25082,22:14:18.291,ch1,R,0x018a,x| 31 B8 00 06 AA 04 82 10
25083,22:14:18.292,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25084,22:14:18.292,ch1,R,0x017c,x| 18 5C 50 08 4E 06 00 00
25085,22:14:18.292,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25086,22:14:18.292,ch1,R,0x0090,x| 00 00 00 00
25087,22:14:18.293,ch1,R,0x00c6,x| 80 23 80 00 80 08 BE 96
25088,22:14:18.293,ch1,R,0x012e,x| C7 80 02 7F D0 FF FF 00
25089,22:14:18.293,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25090,22:14:18.293,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25091,22:14:18.294,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
25092,22:14:18.294,ch1,R,0x029c,x| 00 00 00 00 FF FF FF FF
25093,22:14:18.294,ch1,R,0x01bd,x| 0C 7E 0D 8C 00 00 01 6B
25094,22:14:18.294,ch1,R,0x0354,x| 00 00 00 00 00 00 00 00
25095,22:14:18.295,ch1,R,0x0356,x| 67 FF 00 FF 00 00
25096,22:14:18.295,ch1,R,0x03b7,x| 30 64 FF 8F 7F 46 FF FF
25097,22:14:18.295,ch1,R,0x03f7,x| 08 10 04
25098,22:14:18.295,ch1,R,0x0673,x| 00 00 50 51 50 50 00
25099,22:14:18.296,ch1,R,0x04f8,x| 58 14 30 FF FF 03 FF 00
25100,22:14:18.299,ch1,R,0x0211,x| 4E 12 0A 5B F1 28 00 E4
25101,22:14:18.299,ch1,R,0x0575,x| 40 14
25102,22:14:18.299,ch1,R,0x0214,x| 04 00
25103,22:14:18.300,ch1,R,0x0186,x| 18 66 31 A3 1B 00 21
25104,22:14:18.300,ch1,R,0x0189,x| 31 B3 18 3F 30 D6 00 00
25105,22:14:18.301,ch1,R,0x018a,x| 31 B8 00 06 AA 04 C8 20
25106,22:14:18.301,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25107,22:14:18.301,ch1,R,0x0217,x| 0B 05 00 00 00 00 00
25108,22:14:18.301,ch1,R,0x02c6,x| FF FF FF FF FF F0
25109,22:14:18.301,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25110,22:14:18.302,ch1,R,0x017c,x| 18 60 50 08 4E 06 00 00
25111,22:14:18.302,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25112,22:14:18.302,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25113,22:14:18.302,ch1,R,0x0090,x| 00 00 00 00
25114,22:14:18.303,ch1,R,0x00c6,x| 80 23 80 00 80 08 A0 B4
25115,22:14:18.303,ch1,R,0x012e,x| C7 80 02 7F D0 FF FF 00
25116,22:14:18.303,ch1,R,0x029a,x| 00 00 00 00 00 00 00 FF
25117,22:14:18.303,ch1,R,0x02b7,x| 00 E0 FF FE 01
25118,22:14:18.303,ch1,R,0x0657,x| 00 00
25119,22:14:18.310,ch1,R,0x0186,x| 18 66 31 A3 1B 00 21
25120,22:14:18.310,ch1,R,0x0189,x| 31 B3 18 3F 30 D6 00 00
25121,22:14:18.310,ch1,R,0x018a,x| 31 B8 00 06 AA 04 05 30
25122,22:14:18.311,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25123,22:14:18.311,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25124,22:14:18.312,ch1,R,0x017c,x| 18 64 50 08 4E 06 00 00
25125,22:14:18.312,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25126,22:14:18.312,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25127,22:14:18.312,ch1,R,0x0090,x| 00 00 00 00
25128,22:14:18.313,ch1,R,0x00c6,x| 80 23 80 0A 80 08 A2 A8
25129,22:14:18.313,ch1,R,0x012e,x| C7 80 02 7F D0 FF FF 00
25130,22:14:18.313,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
25131,22:14:18.313,ch1,R,0x029c,x| 00 00 00 00 FF FF FF FF
25132,22:14:18.313,ch1,R,0x0352,x| 5C 00 00 00
25133,22:14:18.314,ch1,R,0x04ac,x| 80
25134,22:14:18.314,ch1,R,0x045c,x| 00 00 00 00
25135,22:14:18.314,ch1,R,0x01bd,x| 0C 7E 0D 8C 00 00 01 6B
25136,22:14:18.314,ch1,R,0x05df,x| 00 A4
25137,22:14:18.319,ch1,R,0x0211,x| 4E 12 0A 5B F1 28 00 E4
25138,22:14:18.319,ch1,R,0x0214,x| 04 00
25139,22:14:18.320,ch1,R,0x0186,x| 18 66 31 A3 1B 00 21
25140,22:14:18.320,ch1,R,0x0189,x| 31 B3 18 3F 30 D6 00 00
25141,22:14:18.320,ch1,R,0x018a,x| 31 B8 00 06 AA 04 5C 40
25142,22:14:18.321,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25143,22:14:18.321,ch1,R,0x0217,x| 0B 05 00 00 00 00 00
25144,22:14:18.321,ch1,R,0x02c6,x| FF FF FF FF FF F0
25145,22:14:18.321,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25146,22:14:18.322,ch1,R,0x017c,x| 18 64 50 08 4E 06 00 00
25147,22:14:18.322,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25148,22:14:18.322,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25149,22:14:18.322,ch1,R,0x0090,x| 00 00 00 00
25150,22:14:18.323,ch1,R,0x00c6,x| 80 23 7F F6 80 08 A4 BB
25151,22:14:18.323,ch1,R,0x012e,x| C7 80 02 7F D0 FF FF 00
25152,22:14:18.323,ch1,R,0x029a,x| 00 00 00 00 00 00 01 FE
25153,22:14:18.323,ch1,R,0x02b7,x| 00 E0 FF FE 01
25154,22:14:18.323,ch1,R,0x0653,x| 00 41 58 00
25155,22:14:18.325,ch1,R,0x0392,x| 00 46 00 00 00
25156,22:14:18.325,ch1,R,0x0668,x| 40 00
25157,22:14:18.331,ch1,R,0x0186,x| 18 54 31 A3 1B 00 21
25158,22:14:18.331,ch1,R,0x0189,x| 31 B3 18 3F 30 D6 00 00
25159,22:14:18.331,ch1,R,0x018a,x| 31 B8 00 06 AA 04 91 50
25160,22:14:18.332,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25161,22:14:18.332,ch1,R,0x017c,x| 18 64 50 08 4E 06 00 00
25162,22:14:18.332,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25163,22:14:18.332,ch1,R,0x0090,x| 00 00 00 00
25164,22:14:18.333,ch1,R,0x00c6,x| 80 23 80 0A 80 08 A6 A4
25165,22:14:18.333,ch1,R,0x012e,x| C7 80 02 7F D0 FF FF 00
25166,22:14:18.333,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25167,22:14:18.333,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25168,22:14:18.333,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
25169,22:14:18.334,ch1,R,0x029c,x| 00 00 00 00 FF FF FF FF
25170,22:14:18.334,ch1,R,0x0354,x| 00 00 00 00 00 00 00 00
25171,22:14:18.334,ch1,R,0x01bd,x| 0C 7E 0D 8C 00 00 01 6B
25172,22:14:18.334,ch1,R,0x0356,x| 67 FF 00 FF 00 00
25173,22:14:18.335,ch1,R,0x0564,x| 1F F0
25174,22:14:18.339,ch1,R,0x0211,x| 4E 12 0A 5B F1 28 00 E4
25175,22:14:18.339,ch1,R,0x0214,x| 04 00
25176,22:14:18.340,ch1,R,0x0186,x| 18 54 31 A3 1B 00 21
25177,22:14:18.340,ch1,R,0x0189,x| 31 B3 18 3F 30 D5 00 00
25178,22:14:18.340,ch1,R,0x018a,x| 31 B8 00 06 AA 04 DB 60
25179,22:14:18.341,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
